units,,min,K,K,K,,,,,Ohm/sq,Ohm,m^3/C,Ohm.cm,/cm^3,cm^2/Vs,Ohm
name,,elapsed time,stage temperature,sample temperature,monitor temperature,,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall coefficient,Hall resistivity,Hall (carrier) density,Hall mobility,2 point contact 
CY02-PVK-06,Vsrc10V_THA01,0,339.988,338.7518519,480,,p,51+53,59+61,6921403298,3981685.427,6.052161849,526026.6507,1.03128E+12,11.50542818,16186430979
CY02-PVK-06,Vsrc10V_THA02,21.6252833,339.993,339.1222222,480,,n,51+53,59+61,9139083932,-1702928.374,-2.588451128,694570.3789,2.41127E+12,3.726693805,20584314546
CY02-PVK-06,Vsrc10V_THA03,43.26556664,339.997,338.3823529,480,,n,51+53,59+61,9073009281,-3425619.993,-5.20694239,689548.7054,1.19868E+12,7.551232203,21216210286
CY02-PVK-06,Vsrc10V_THA04,65.24673335,337.487,336.9044118,480,,n,51+53,59+61,11437578241,-870943.1695,-1.323833618,869255.9463,4.71469E+12,1.522950315,26517351099
CY02-PVK-06,Vsrc10V_THA05,87.19220009,335.006,334.3185185,480,,p,51+53,59+61,13747946212,276432.6589,0.420177642,1044843.912,1.48543E+13,0.402143934,32172618857
CY02-PVK-06,Vsrc10V_THA06,109.1691667,332.501,331.7296296,480,,p,51+53,59+61,16933846426,353522.8043,0.537354663,1286972.328,1.16152E+13,0.417533968,38914715441
CY02-PVK-06,Vsrc10V_THA07,131.1383167,330.011,328.7703704,480,,p,51+53,59+61,20560951255,287513.9923,0.437021268,1562632.295,1.42818E+13,0.279669932,46789003512
CY02-PVK-06,Vsrc10V_THA08,153.10305,327.505,326.9222222,480,,p,51+53,59+61,24699883854,502584.0722,0.76392779,1877191.173,8.17022E+12,0.406952579,55235891376
CY02-PVK-06,Vsrc10V_THA09,175.0873667,324.993,325.0703704,480,,p,51+53,59+61,29444071248,661661.0211,1.005724752,2237749.415,6.20593E+12,0.449435824,65368554581
CY02-PVK-06,Vsrc10V_THA10,197.0478834,322.495,322.1102941,480,,p,51+53,59+61,34817836848,955608.3742,1.452524729,2646155.6,4.29697E+12,0.548918865,76950698057
CY02-PVK-06,Vsrc10V_THA11,219.0257333,320.005,318.7777778,480,,p,51+53,59+61,40846971213,1439998.854,2.188798258,3104369.812,2.85155E+12,0.705070076,90585042607
CY02-PVK-06,Vsrc10V_THA12,241.0017667,317.507,317.2962963,480,,p,51+53,59+61,47775811967,513745.7842,0.780893592,3630961.71,7.99272E+12,0.215065224,1.06132E+11
CY02-PVK-06,Vsrc10V_THA13,262.9657333,315.007,313.962963,480,,p,51+53,59+61,55144621099,1485030.39,2.257246193,4190991.204,2.76508E+12,0.53859483,1.23868E+11
CY02-PVK-06,Vsrc10V_THA14,284.9492001,312.492,312.4851852,480,,p,51+53,59+61,62620142653,768348.4118,1.167889586,4759130.842,5.34422E+12,0.245399764,1.43704E+11
CY02-PVK-06,Vsrc10V_THA15,306.9078,310.007,308.7814815,480,,p,51+53,59+61,71708587324,803466.1426,1.221268537,5449852.637,5.11064E+12,0.224092029,1.66457E+11
CY02-PVK-06,Vsrc10V_THA16,328.88955,307.501,306.5592593,480,,p,51+53,59+61,79422496441,193641.3224,0.29433481,6036109.73,2.12053E+13,0.048762336,1.92562E+11
CY02-PVK-06,Vsrc10V_THA17,350.8647667,305.001,303.6,480,,p,51+53,59+61,87590649664,3339570.074,5.076146512,6656889.374,1.22957E+12,0.762540314,2.2196E+11
