units,,min,K,K,K,,,,,Ohm/sq,Ohm,m^3/C,Ohm.cm,/cm^3,cm^2/Vs,Ohm
name,,elapsed time,stage temperature,sample temperature,monitor temperature,,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall coefficient,Hall resistivity,Hall (carrier) density,Hall mobility,2 point contact 
CY03-PVK-02,THA02,21.63120003,340.002,338.7518519,331.103,,p,51,61,2829461936,15362.23184,0.017820189,164108.7923,3.50247E+14,0.108587655,5589957747
CY03-PVK-02,THA03,43.27161674,339.991,338.7518519,331.427,,p,51,61,3168031354,44608.67738,0.051746066,183745.8186,1.20617E+14,0.281617651,6179443204
CY03-PVK-02,THA04,65.50161667,334.999,333.5777778,327.498,,p,51,61,5359033384,541.3328163,6.28E-04,310823.9363,9.94E+15,0.002020263,10238577261
CY03-PVK-02,THA05,87.73813337,330.003,329.1407407,323.477,,p,51,61,8775065012,151415.9772,0.175642534,508953.7707,3.5535E+13,0.345105084,16752419290
CY03-PVK-02,THA06,109.9386834,325,323.5888889,319.52,,p,51,61,13728959616,291939.1086,0.338649366,796279.6577,1.84304E+13,0.425289486,27075636172
CY03-PVK-02,THA07,132.1929334,320.004,319.5185185,315.378,,p,51,61,21457379926,49855.869,0.057832808,1244528.036,1.07922E+14,0.046469671,43848214970
CY03-PVK-02,THA08,154.4260501,315.002,313.2222222,311.103,,p,51,61,32432032594,1021366.2,1.184784792,1881057.89,5.26801E+12,0.629850255,70434716926
CY03-PVK-02,THA09,176.6817167,309.994,309.5222222,306.984,,p,51,61,48729700490,1657931.002,1.923199963,2826322.628,3.24535E+12,0.680460165,1.08023E+11
CY03-PVK-02,THA10,198.9381334,305.002,303.6,302.833,,p,51,61,68515285343,2194489.167,2.545607433,3973886.55,2.45185E+12,0.640583822,1.63244E+11
CY03-PVK-02,THA11,221.1980167,300.011,299.9,298.585,,p,51,61,91805081985,4127058.417,4.787387764,5324694.755,1.30373E+12,0.899091494,2.43396E+11
CY03-PVK-02,THA12,243.4345168,295.006,295.0955882,294.303,,p,51,61,1.08681E+11,932587.3232,1.081801295,6303513.918,5.76951E+12,0.171618768,3.53117E+11
CY03-PVK-02,THA13,265.6999833,290.006,290.6617647,290.001,,n,51,61,1.18368E+11,-670574.9189,-0.777866906,6865354.629,8.02381E+12,0.113303237,5.1026E+11
CY03-PVK-02,THA14,287.9657,284.984,284.3860294,285.694,,p,51,61,1.18842E+11,4718745.076,5.473744288,6892815.489,1.14025E+12,0.794123141,6.57964E+11
CY03-PVK-02,THA15,310.2415334,280.006,281.0698529,281.343,,p,51,61,1.28586E+11,8754243.754,10.15492275,7457994.876,6.14624E+11,1.361615679,8.42119E+11
CY03-PVK-02,THA16,332.4973001,274.999,276.6481481,276.972,,p,51,61,1.50628E+11,9542441.117,11.0692317,8736407.402,5.63857E+11,1.267023295,1.06583E+12
CY03-PVK-02,THA17,354.7739334,270.005,271.8666667,272.72,,p,51,61,1.56086E+11,3473537.234,4.029303192,9052969.156,1.54902E+12,0.445080848,1.20378E+12
CY03-PVK-02,THA18,377.0356668,264.985,267.0882353,268.42,,p,51,61,1.50625E+11,274219.4176,0.318094524,8736227.007,1.96214E+13,0.036410973,1.48708E+12
CY03-PVK-02,THA19,399.30575,259.965,262.6861314,264.19,,n,51,61,1.58499E+11,-313502.5688,-0.36366298,9192959.085,1.71628E+13,0.03955886,1.52072E+12
