Fname,BatchID,Fidx,elapsed time,optical density,Monitor photo density,stage temperature,sample temperature,monitor temperature,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall resistivity,conductivity,Hall coefficient,sigma square hall coefficient,Hall density,Hall mobility,wavelength
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB01.mat,P1HB,1,739085.5081,10,5.55E-13,NaN,298,NaN,P,51+53,59+61,236602.9296,2989.585106,172.7201386,0.005789713,3.358156907,0.000112568,1.86E+18,0.019442764,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB02.mat,P1HB,2,739085.5149,7.8,2.47E-08,NaN,298,NaN,P,51+53,59+61,234032.6895,2913.599011,170.8438634,0.005853298,3.272802846,0.00011213,1.91E+18,0.01915669,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB03.mat,P1HB,3,739085.5217,7,1.21E-10,NaN,298,NaN,P,51+53,59+61,236387.3248,2972.459957,172.5627471,0.005794994,3.33892048,0.000112127,1.87E+18,0.019349023,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB04.mat,P1HB,4,739085.5285,6,1.76E-10,NaN,298,NaN,P,51+53,59+61,236998.8528,2968.373827,173.0091626,0.005780041,3.334330589,0.000111396,1.87E+18,0.019272566,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB05.mat,P1HB,5,739085.5353,5,8.06E-10,NaN,298,NaN,P,51+53,59+61,236463.4924,2970.220872,172.6183495,0.005793127,3.336405348,0.000111971,1.87E+18,0.019328219,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB06.mat,P1HB,6,739085.542,4.5,2.45E-09,NaN,298,NaN,P,51+53,59+61,236481.6542,2961.681536,172.6316076,0.005792682,3.326813238,0.000111632,1.88E+18,0.019271171,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB07.mat,P1HB,7,739085.5488,4,8.12E-09,NaN,298,NaN,P,51+53,59+61,235037.5013,2953.888062,171.577376,0.005828274,3.318058943,0.00011271,1.88E+18,0.019338557,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB08.mat,P1HB,8,739085.5557,3.5,2.74E-08,NaN,298,NaN,P,51+53,59+61,233928.73,2921.122254,170.7679729,0.005855899,3.281253594,0.000112519,1.90E+18,0.01921469,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB09.mat,P1HB,9,739085.5624,3,8.32E-08,NaN,298,NaN,P,51+53,59+61,231028.5666,2866.221444,168.6508536,0.00592941,3.219584323,0.000113194,1.94E+18,0.019090234,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB10.mat,P1HB,10,739085.5692,2.5,2.53E-07,NaN,298,NaN,P,51+53,59+61,226469.6496,2721.86776,165.3228442,0.006048771,3.057433956,0.000111864,2.04E+18,0.018493717,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB11.mat,P1HB,11,739085.576,2,8.62E-07,NaN,298,NaN,P,51+53,59+61,214782.3521,2310.813325,156.791117,0.006377912,2.595702565,0.000105587,2.40E+18,0.016555163,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB12.mat,P1HB,12,739085.5828,1.5,3.13E-06,NaN,298,NaN,P,51+53,59+61,190404.1214,1330.457587,138.9950087,0.007194503,1.494483407,7.74E-05,4.18E+18,0.010752065,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB13.mat,P1HB,13,739085.5896,1,1.20E-05,NaN,298,NaN,N,51+53,59+61,142628.4404,-546.4769715,104.1187615,0.009604417,-0.613849531,-5.66E-05,-1.02E+19,0.005895667,450
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P1HB_L450\QHOT01-W1-CTRL2_Vsrc2V_L450_P1HB14.mat,P1HB,14,739085.5964,0.75,2.27E-05,NaN,298,NaN,N,51+53,59+61,105036.5283,-1197.846526,76.67666566,0.013041777,-1.345523356,-0.000228857,-4.64E+18,0.017548016,450
